mH_GeV,g_over_gref,g_over_gref_squared,sigma_over_sigma_ref,sigma_over_sigma_ref_uncertainty,h2_boost_betagamma_median_shift,h2_pT_median_shift,deltaR_h2h2_median_shift
130.0,0.9999999999481,0.9999999998962,1.7103871113537348,0.012094264099184836,0.08208312268500834,-0.05442006510326814,0.0007158841925481209
150.0,1.0,1.0,1.0,0.007071067811868233,0.0,0.0,0.0
170.0,0.9999999999888,0.9999999999776,0.5948663626652974,0.004206340627193118,-0.09109447580536695,0.014374844189941963,-0.002432984054543022
