event,index,tau0_mm,tau_generated_mm,L3D_mm,Rxy_mm,n_daughters
1,9,4.326221529733112,0.717380788527454,1.482543203258244,1.465421583340958,2
1,10,4.326221529733112,0.2116567716682679,0.4386374475633955,0.432359503381207,2
2,9,4.326221529733112,5.07045513426443,3.449476807254004,3.40926582113577,2
2,10,4.326221529733112,2.007491477506044,3.091878134578537,1.349794426585647,2
3,9,4.326221529733112,1.769691315700787,1.570831374036373,1.027028856739102,2
3,10,4.326221529733112,0.454571632919744,0.2915826379351288,0.2638076936478149,2
4,9,4.326221529733112,3.313889516650011,13.6151796950482,2.430401168152581,2
4,10,4.326221529733112,0.27981324594573,0.4337095446639282,0.2052145783358928,2
5,9,4.326221529733112,4.075218473286039,2.690161455550232,1.931706728348055,2
5,10,4.326221529733112,1.273786044851828,1.591309177629187,0.6037912051699283,2
6,9,4.326221529733112,3.243175130926358,1.316953306588815,1.255496201249234,2
6,10,4.326221529733112,5.085363045938548,3.370854667120281,1.968642989786807,2
7,9,4.326221529733112,0.2736880171850002,0.146304030813575,0.1083176733894412,2
7,10,4.326221529733112,3.507533562625682,4.120868743446866,1.38817869611799,2
8,9,4.326221529733112,17.62874820238428,18.90180511930066,10.05652381010549,2
8,10,4.326221529733112,3.022651860931245,2.624550595976835,1.724306800468311,2
9,9,4.326221529733112,5.634635472837553,40.97837426379331,3.400378112106787,2
9,10,4.326221529733112,5.636817202327324,41.07211128765382,3.401694737687859,2
10,9,4.326221529733112,22.8005500499047,197.6848207371897,6.523688883398307,2
10,10,4.326221529733112,7.482242453521898,30.18984199710996,2.140817735102654,2
11,9,4.326221529733112,4.972693484707603,20.96432443966242,5.497703357251298,2
11,10,4.326221529733112,3.818056617135453,16.84786931751784,4.221161579082402,2
12,9,4.326221529733112,1.703671580267371,7.228957437130936,1.141635525118615,2
12,10,4.326221529733112,8.824974334497281,26.13680718032978,5.91364223317088,2
13,9,4.326221529733112,4.396481823900101,4.11565549955074,1.695431894598911,2
13,10,4.326221529733112,2.429203241124905,2.782554833501618,0.9367828228191482,2
14,9,4.326221529733112,0.254562537157295,0.9146107501459854,0.2354071816299455,2
14,10,4.326221529733112,4.733809551181548,14.02915700226635,4.377599222810977,2
15,9,4.326221529733112,7.706961916265378,7.70447672058086,1.190164579105758,2
15,10,4.326221529733112,0.8048214879467676,0.2654720245138148,0.1242863320027403,2
16,9,4.326221529733112,7.436237487573758,5.799170189446471,4.824322384315065,2
16,10,4.326221529733112,1.661960999449503,1.721440799837079,1.078211348803879,2
17,9,4.326221529733112,3.115884123242961,16.71294916904813,0.9001905379210596,2
17,10,4.326221529733112,1.648514385030105,5.190261189426398,0.4762619508091193,2
18,9,4.326221529733112,0.4513755808452216,0.6574403862742447,0.2470724215612752,2
18,10,4.326221529733112,9.305539518656042,6.660258207135421,5.09363439312167,2
19,9,4.326221529733112,1.524684854062585,0.6319615768904064,0.5090263171824619,2
19,10,4.326221529733112,26.21890632061199,11.88314302452049,8.753358629733768,2
20,9,4.326221529733112,3.300653435102239,14.63556320765636,2.530320100900106,2
20,10,4.326221529733112,3.575311161144595,13.23473924455351,2.740875973771066,2
21,9,4.326221529733112,0.2062799468021908,0.5365556544267521,0.2781586277506954,2
21,10,4.326221529733112,7.979347012667715,17.97818977693394,10.7597672473643,2
22,9,4.326221529733112,5.413378431301171,7.825178462567433,0.4936555465062664,2
22,10,4.326221529733112,0.03485951200634507,0.1985030439626293,0.003178900508955871,2
23,9,4.326221529733112,0.134531280920786,0.405034768598933,0.06269549467484235,2
23,10,4.326221529733112,3.302690762223038,1.832130535026818,1.539150074825555,2
24,9,4.326221529733112,0.105789869860254,0.2821096411042859,0.07939385420805373,2
24,10,4.326221529733112,2.119574056568145,5.897337113247426,1.59071141549413,2
25,9,4.326221529733112,5.035891645406729,6.273615638934488,5.118189811081034,2
25,10,4.326221529733112,1.958884298028713,4.04751088645722,1.990897017095654,2
26,9,4.326221529733112,0.2463517538991391,0.327250623763841,0.1320143841229254,2
26,10,4.326221529733112,1.540361157330234,2.4109139512379,0.8254450244144909,2
27,9,4.326221529733112,0.3826218063244624,0.5801172877197246,0.4485259172555606,2
27,10,4.326221529733112,16.12981925114039,62.08892408271563,18.90807542905483,2
28,9,4.326221529733112,0.01407133364788062,0.005699978413058796,0.004578182888705193,2
28,10,4.326221529733112,5.320259979069217,14.0412684177508,1.730974746896598,2
29,9,4.326221529733112,11.23357081234811,13.95324116118474,10.28878019235509,2
29,10,4.326221529733112,7.20519272950606,10.53907940493007,6.599205673404862,2
30,9,4.326221529733112,1.001654018252512,3.114042269125087,0.4934046727063508,2
30,10,4.326221529733112,1.410579959964526,2.074976720904659,0.6948374696151617,2
31,9,4.326221529733112,3.78445648389302,3.035651146179,1.79539396121657,2
31,10,4.326221529733112,0.4491494515297749,0.2736594440089664,0.2130821734620025,2
32,9,4.326221529733112,3.957789349752373,10.39107148400349,5.781701886511238,2
32,10,4.326221529733112,1.713190217945648,6.8397092514075,2.502698915915949,2
33,9,4.326221529733112,0.2106386496155782,0.175425435245677,0.1747928661482831,2
33,10,4.326221529733112,3.544869736917919,3.437532320550421,2.941615617879313,2
34,9,4.326221529733112,20.64568794544791,100.8134569545878,5.110080031113376,2
34,10,4.326221529733112,3.380369992994436,7.107094207741888,0.8366861518307701,2
35,9,4.326221529733112,4.720688276019114,6.8273394328221,4.987066721838815,2
35,10,4.326221529733112,6.089601898857607,6.750280589674369,6.433225242453239,2
36,9,4.326221529733112,3.881601996602005,8.571353737857727,3.830424318401076,2
36,10,4.326221529733112,4.394079878016394,4.371004884037615,4.336145343207529,2
37,9,4.326221529733112,2.950267149909031,1.893582641741174,1.484109933806155,2
37,10,4.326221529733112,0.001034649005661373,0.001499086457726545,0.000520472482416398,2
38,9,4.326221529733112,0.2368587982668149,0.4632214862767223,0.05722755768055244,2
38,10,4.326221529733112,0.5432521990979912,1.888975192276645,0.1312554010509939,2
39,9,4.326221529733112,3.881842001449344,8.150510527865995,4.671044082034607,2
39,10,4.326221529733112,3.492197417619994,6.749592626373655,4.202182385264522,2
40,9,4.326221529733112,2.871681728626142,1.037663456768115,0.2958735525136453,2
40,10,4.326221529733112,7.257371647220672,6.393642276232327,0.7477375747354396,2
41,9,4.326221529733112,0.4483987242292786,0.9007237221823912,0.3400966540010819,2
41,10,4.326221529733112,0.4749597744921393,0.6232743909267232,0.3602423944616067,2
42,9,4.326221529733112,5.765575855074835,6.361860687767333,5.229607572635457,2
42,10,4.326221529733112,18.13022167011206,16.45063766732764,16.44483516006865,2
43,9,4.326221529733112,6.2561016425162,4.949093400273539,2.011234459545617,2
43,10,4.326221529733112,2.629407777499424,9.032366871693148,0.8453116385393515,2
44,9,4.326221529733112,3.515168376429815,4.230360233807906,1.034633959857423,2
44,10,4.326221529733112,8.778955987584174,3.152783369623025,2.583946208025861,2
45,9,4.326221529733112,3.126297309099858,5.121082015747839,1.763870560760293,2
45,10,4.326221529733112,7.161136714086243,6.185157905735554,4.040344529866006,2
46,9,4.326221529733112,8.213982876176226,5.328947377069911,4.988959149911331,2
46,10,4.326221529733112,0.6984417411578078,3.446541088940472,0.4242153128095331,2
47,9,4.326221529733112,14.7524021121151,24.16386323426597,5.074770723724763,2
47,10,4.326221529733112,11.17210514841512,16.62497444945366,3.843162062603451,2
48,9,4.326221529733112,6.877873666870419,17.05364426863321,7.916081988654114,2
48,10,4.326221529733112,1.317375746272703,1.556611024794175,1.516232330289993,2
49,9,4.326221529733112,11.09628857612085,44.40022988615059,3.140984445522673,2
49,10,4.326221529733112,0.2164179145848137,0.7218520957111707,0.06126060067563538,2
50,9,4.326221529733112,7.595936323625053,20.53203243134178,7.36556648956267,2
50,10,4.326221529733112,1.671120889688041,1.912534146430539,1.620439074352352,2
51,9,4.326221529733112,11.66499392355897,4.28938994281076,3.781051640372783,2
51,10,4.326221529733112,18.41720046576969,45.57945826308619,5.969689010427444,2
52,9,4.326221529733112,4.319567925216285,10.10100819590377,3.073388091113131,2
52,10,4.326221529733112,11.67305943612693,52.17435263699024,8.305423708796507,2
53,9,4.326221529733112,0.1168272143335323,0.05103506488928473,0.03132461361434342,2
53,10,4.326221529733112,9.184608332123911,17.52273133134659,2.462648012658147,2
54,9,4.326221529733112,2.68267510288222,2.596262173167832,0.18527516541177,2
54,10,4.326221529733112,1.827001876259741,1.345614573780289,0.1261793030650492,2
55,9,4.326221529733112,2.623159517125209,7.504755783425582,1.432629340847728,2
55,10,4.326221529733112,0.09163676977348914,0.1469666126115306,0.05004709939328574,2
56,9,4.326221529733112,8.797334873542669,8.701401251477563,4.058571591258154,2
56,10,4.326221529733112,0.1180864911147333,0.1397775583541639,0.05447814423786019,2
57,9,4.326221529733112,2.088205779165242,1.339082546721351,1.188158273518939,2
57,10,4.326221529733112,2.020810618105712,1.502562050458805,1.14981142139978,2
58,9,4.326221529733112,1.506470339412321,2.973091379233108,0.5993639222884209,2
58,10,4.326221529733112,1.57262819238931,3.69325691060169,0.6256854695589352,2
59,9,4.326221529733112,0.6172746864806659,0.3329522029695693,0.3206277984404899,2
59,10,4.326221529733112,2.184399183433095,1.504259993509416,1.134631172213628,2
60,9,4.326221529733112,2.979053189644427,9.364967574116658,1.643968412133245,2
60,10,4.326221529733112,1.946074033059801,1.46360405838627,1.073926524421983,2
61,9,4.326221529733112,2.58085318350638,4.467631363497245,2.693617842975002,2
61,10,4.326221529733112,7.197949745107321,17.05686271671349,7.51244820517723,2
62,9,4.326221529733112,4.591488654478003,1.857505543369237,1.857504299047354,2
62,10,4.326221529733112,3.257965851875075,1.3506439663908,1.318022548113087,2
63,9,4.326221529733112,2.592214170633498,1.640368262035727,1.627122552722677,2
63,10,4.326221529733112,3.728317272167295,7.380749590138696,2.340249963129533,2
64,9,4.326221529733112,8.726577133441959,26.5533799429147,4.672704861689937,2
64,10,4.326221529733112,5.847192277322982,16.05650360926623,3.130918728349847,2
65,9,4.326221529733112,4.147466600477265,18.1631969365366,3.225776693387483,2
65,10,4.326221529733112,2.78799653268128,14.35070533504217,2.168421135768392,2
66,9,4.326221529733112,17.06121920192614,116.1124738031313,13.74551042307323,2
66,10,4.326221529733112,3.940391639282249,14.28393630132592,3.174608667042389,2
67,9,4.326221529733112,0.6123246831008843,0.245264468516513,0.08987695845141341,2
67,10,4.326221529733112,0.8949070675899552,0.5763656332281256,0.1313543738337379,2
68,9,4.326221529733112,2.946567229203464,2.15972486985449,1.885900647140407,2
68,10,4.326221529733112,14.59439780060094,24.95379705918225,9.340898108141324,2
69,9,4.326221529733112,2.686378912324258,1.6655729086917,1.520711611808435,2
69,10,4.326221529733112,4.029278998379809,7.233200463086477,2.280903610410873,2
70,9,4.326221529733112,4.673907427153219,10.80658056844856,4.15205231821734,2
70,10,4.326221529733112,0.4859741860964871,1.116000618598637,0.4317137806909237,2
71,9,4.326221529733112,3.069318321947658,2.826421545400759,2.220858707895775,2
71,10,4.326221529733112,0.5337541062538459,1.04462274384959,0.3862070761030681,2
72,9,4.326221529733112,1.878895605231377,5.458361360541476,0.6013370118068134,2
72,10,4.326221529733112,0.8912620527135539,2.954806892420633,0.2852467470908666,2
73,9,4.326221529733112,5.01307856760838,7.480570642600198,2.560445813264587,2
73,10,4.326221529733112,3.875647030831216,2.279891343474058,1.979499040350633,2
74,9,4.326221529733112,2.864777083210053,8.814621963963912,2.235697128840556,2
74,10,4.326221529733112,7.36272898647433,21.70205674838745,5.74593819252667,2
75,9,4.326221529733112,2.061333901493733,6.282283677472948,3.533170683204343,2
75,10,4.326221529733112,0.614806930119319,1.199317043616135,1.053792313683074,2
76,9,4.326221529733112,1.890166250460983,2.630411220937116,1.443304766631254,2
76,10,4.326221529733112,2.209289525928348,1.749204357680378,1.686982879343665,2
77,9,4.326221529733112,0.4034434354165448,0.853399590860794,0.3883469432811945,2
77,10,4.326221529733112,1.02247472380516,2.551346532481772,0.9842146351000806,2
78,9,4.326221529733112,3.214435484390067,1.888483060779278,1.190945455094701,2
78,10,4.326221529733112,0.9206090799287315,0.5100862396977547,0.3410848358862229,2
79,9,4.326221529733112,1.898272884070069,1.866026824387639,1.260275257049223,2
79,10,4.326221529733112,6.217076874175149,5.076834073151288,4.1275562757323,2
80,9,4.326221529733112,2.458684733810319,5.84395037138838,1.504297948409087,2
