point_id,observable,median,p10,p90,relative_shift_median_vs_benchmark
H2scan_mH150_tb300000,h2_pt_GeV,91.95762377985567,34.44001291103085,172.97328161566492,0.0
H2scan_mH150_tb300000,h2_boost_betagamma,1.4871566606903972,0.5862682256794062,4.530712341954924,0.0
H2scan_mH150_tb300000,deltaR_h2h2,3.229078570901807,3.144586060109273,3.7540983740126936,0.0
H2scan_mH130_tb300000,h2_pt_GeV,86.95328390701408,31.442852670559702,168.48616776018523,-0.05442006510326814
H2scan_mH130_tb300000,h2_boost_betagamma,1.6092271233216744,0.6191874521841645,5.090071642878125,0.08208312268500834
H2scan_mH130_tb300000,deltaR_h2h2,3.2313902172072115,3.1444963273864537,3.777636844876882,0.0007158841925481209
H2scan_mH170_tb300000,h2_pt_GeV,93.2795002937684,35.76317864597529,180.88501447268786,0.014374844189941963
H2scan_mH170_tb300000,h2_boost_betagamma,1.3516849042443455,0.5298585585743781,4.022292978390935,-0.09109447580536695
H2scan_mH170_tb300000,deltaR_h2h2,3.2212222742279364,3.144031613620203,3.713093463794971,-0.002432984054543022
H2scan_mH150_tb360000,h2_pt_GeV,91.95762377985567,34.44001291103085,172.97328161566492,0.0
H2scan_mH150_tb360000,h2_boost_betagamma,1.4871566606903972,0.5862682256794062,4.530712341954924,0.0
H2scan_mH150_tb360000,deltaR_h2h2,3.229078570901807,3.144586060109273,3.7540983740126936,0.0
