kappa_g,GHphiphi_GeV,abs_g_hH2H2_GeV,sigma_pb,integration_error_pb,sigma_over_sigma_baseline,expected_kappa_g_squared,relative_residual,analytic_sigma_pb,param_card,log,sha256,status
0.500000,-3.17957126003798294e+01,3.17957126003798294e+01,,,,2.50000000000000000e-01,,5.75727918920000028e-05,madgraph_deck/param_card_kappa_0p5.dat,,,NOT_EXECUTED_MADGRAPH_UNAVAILABLE_EGRESS_BLOCKED
1.000000,-6.35914252007596588e+01,6.35914252007596588e+01,,,,1.00000000000000000e+00,,2.30291167568000011e-04,madgraph_deck/param_card_kappa_1p0.dat,,,NOT_EXECUTED_MADGRAPH_UNAVAILABLE_EGRESS_BLOCKED
2.000000,-1.27182850401519318e+02,1.27182850401519318e+02,,,,4.00000000000000000e+00,,9.21164670272000045e-04,madgraph_deck/param_card_kappa_2p0.dat,,,NOT_EXECUTED_MADGRAPH_UNAVAILABLE_EGRESS_BLOCKED
4.000000,-2.54365700803038635e+02,2.54365700803038635e+02,,,,1.60000000000000000e+01,,3.68465868108800018e-03,madgraph_deck/param_card_kappa_4p0.dat,,,NOT_EXECUTED_MADGRAPH_UNAVAILABLE_EGRESS_BLOCKED
