target_events,rate_multiplier,kappa_g,required_abs_g_hH2H2_GeV,required_GHphiphi_GeV,required_sigma_H2H2_pb,required_visible_sigma_fb,interpretation
1.0,3.4672259236811014,1.8620488510458315,118.41034023144145,-118.41034023144145,0.0007984715061865581,0.007194244604316547,ILLUSTRATIVE_RATE_SCALE_NOT_DISCOVERY_OR_EXCLUSION
3.0,10.401677771043305,3.225163216186633,205.09272542237372,-205.09272542237372,0.0023954145185596746,0.02158273381294964,ILLUSTRATIVE_RATE_SCALE_NOT_DISCOVERY_OR_EXCLUSION
5.0,17.336129618405508,4.16366780836386,264.7735699963813,-264.7735699963813,0.003992357530932791,0.03597122302158274,ILLUSTRATIVE_RATE_SCALE_NOT_DISCOVERY_OR_EXCLUSION
10.0,34.672259236811016,5.888315483804432,374.44637364682444,-374.44637364682444,0.007984715061865582,0.07194244604316548,ILLUSTRATIVE_RATE_SCALE_NOT_DISCOVERY_OR_EXCLUSION
