point_id,role,m12_sq_GeV2,M2_GeV2,m12_sq_over_baseline,construction_ok,numerical_ok,positivity_ok,unitarity_ok,perturbativity_ok,theory_ok_v1,lambda1_reconstructed,g_hH2H2_GeV,abs_g_hH2H2_GeV,kappa_g,total_width_GeV,ctau_mm,ctau_relative_change,BR_bb,BR_bb_squared,BR_gg,BR_tautau,BR_gammagamma,BR_Zgamma,sigma_H2H2_pb,visible_sigma_fb,expected_trackless_events_139fb,acceptance_label,yield_status
R9_P1_baseline,frozen R8 benchmark,7.49999999996479594e-02,2.25000000001443877e+04,1.00000000000000000e+00,1,1,1,1,1,1,1.00000093418204150e+00,6.35914252007596588e+01,6.35914252007596588e+01,1.00000000000000000e+00,4.56118529862185007e-14,4.32622152973311191e+00,0.000000e+00,7.56737485808578692e-01,5.72651622427888807e-01,1.32901948624741001e-01,7.56506563863697107e-02,2.65792941770435500e-04,2.04915508605281493e-05,2.30291167568000011e-04,2.07492813063606943e-03,2.88415010158413643e-01,ACCEPTANCE_REUSED_AT_FIXED_MASS_AND_NEARBY_LIFETIME,PHYSICAL
R9_P2_valid_edge_up,largest theory-valid m12_sq (M^2 increasing branch),7.50000000018933161e-02,2.25000000008179959e+04,1.00000000002993805e+00,1,1,1,1,1,1,3.60674310829558635e-06,6.35914251952884797e+01,6.35914251952884797e+01,9.99999999913963600e-01,4.56126805415045417e-14,4.32614303867639194e+00,-1.814310e-05,7.56723756237685841e-01,5.72630843254472555e-01,1.32899537365857440e-01,7.56492838480408991e-02,2.81770143360081165e-04,2.26522689552833267e-05,2.30291167528373181e-04,2.07485283966645515e-03,2.88404544713637245e-01,ACCEPTANCE_REUSED_AT_FIXED_MASS_AND_NEARBY_LIFETIME,PHYSICAL
R9_P3_valid_edge_down,smallest theory-valid m12_sq (M^2 decreasing branch),7.49999999924880062e-02,2.24999999979964014e+04,9.99999999904533921e-01,1,1,1,1,1,1,4.18878690747569227e+00,6.35914252182076325e+01,6.35914252182076325e+01,1.00000000027437630e+00,4.56093892810153369e-14,4.32645522140627126e+00,5.401750e-05,7.56778362905695778e-01,5.72713490562224981e-01,1.32909127674753769e-01,7.56547428493477003e-02,2.17957901827229742e-04,1.43245012014467500e-05,2.30291167694372882e-04,2.07515230285422242e-03,2.88446170096736898e-01,ACCEPTANCE_REUSED_AT_FIXED_MASS_AND_NEARBY_LIFETIME,PHYSICAL
R9_P4_kappa_1p20,intermediate coupling target (kappa_g=1.200000),1.32410895304778620e-01,3.97232685918749557e+04,1.76547860407200186e+00,1,1,0,0,0,0,-2.55687456086970062e+10,-7.63097102409116133e+01,7.63097102409116133e+01,1.20000000000000040e+00,8.57503013645605527e+00,2.30118118840282708e-14,-1.000000e+00,4.02519761774138754e-15,1.62022158618709426e-29,7.06924511168578544e-16,4.02396910394682302e-16,8.11622372943347714e-01,1.88377627056646901e-01,3.31619281297920244e-04,8.45375133875937288e-32,1.17507143608755285e-29,RECAST_REQUIRED_FOR_EXACT_YIELD,THEORY_INVALID_DERIVED_OBSERVABLES_NOT_PHYSICAL
R9_P5_kappa_1p50,intermediate coupling target (kappa_g=1.500000),1.40239653755478311e-01,4.20718961271109583e+04,1.86986205008182105e+00,1,1,0,0,0,0,-2.90553927372920799e+10,-9.53871378011397155e+01,9.53871378011397155e+01,1.50000000000000355e+00,1.10732790785294739e+01,1.78201036026091862e-14,-1.000000e+00,3.11708114050958122e-15,9.71619483652051213e-30,5.47441692424509628e-16,3.11613213169366437e-16,8.11620129618760622e-01,1.88379870381235354e-01,5.18155127028002444e-04,7.92120579053214888e-32,1.10104760488396864e-29,RECAST_REQUIRED_FOR_EXACT_YIELD,THEORY_INVALID_DERIVED_OBSERVABLES_NOT_PHYSICAL
R9_P6_kappa_N1,kappa_g for the 1-event illustrative threshold (kappa_g=1.862049),1.49687630429448881e-01,4.49062891293336215e+04,1.99583507240201996e+00,1,1,0,0,0,0,-3.32631813603257294e+10,-1.18410340231441523e+02,1.18410340231441523e+02,1.86204885104583262e+00,1.45127526704354004e+01,1.35967989588897167e-14,-1.000000e+00,2.37834267612237061e-15,5.65651388506491915e-30,4.17699396268621874e-16,2.37761842323611348e-16,8.11620325627982142e-01,1.88379674372014888e-01,7.98471506186559064e-04,7.10630039330664921e-32,9.87775754669624189e-30,RECAST_REQUIRED_FOR_EXACT_YIELD,THEORY_INVALID_DERIVED_OBSERVABLES_NOT_PHYSICAL
R9_P7_kappa_N10,kappa_g for the 10-event illustrative threshold (kappa_g=5.888315),2.54756526849378218e-01,7.64269580556626461e+04,3.39675369134098704e+00,1,1,0,0,0,0,-8.00570846738783722e+10,-3.74446373646824725e+02,3.74446373646824725e+02,5.88831548380443603e+00,8.40654788454158819e+01,2.34730097431378994e-15,-1.000000e+00,4.10587295700317408e-16,1.68581927390499888e-31,7.21094573400230033e-17,4.10462051699000442e-17,8.11621866555787386e-01,1.88378133444212031e-01,7.98471506186559411e-03,2.11790131035054234e-32,2.94388282138725388e-30,RECAST_REQUIRED_FOR_EXACT_YIELD,THEORY_INVALID_DERIVED_OBSERVABLES_NOT_PHYSICAL
