point_id,role,varied_parameter,parameter_value,g_hH2H2,ctau_mm,BRbb,sigma_MG_fb,sigma_MG_error_fb,sigma_g2_prediction_fb,ratio_direct_over_g2,ratio_unc
H2scan_mH150_tb300000,benchmark,none,150.0,63.5914252007625,4.326221568115243,0.7567374925223394,0.22647489999999998,0.0016014193755860768,0.22647489999999998,1.0,0.007071067811868233
H2scan_mH130_tb300000,mH_down,mH,130.0,63.591425200341746,5.052537625426944,0.78580596369334,0.38735975,0.00273904725240023,0.22647489999700304,1.7103871113537348,0.012094264099184836
H2scan_mH170_tb300000,mH_up,mH,170.0,63.5914252012376,3.739221827826894,0.724982729037251,0.1347223,0.000952630572923733,0.22647490000338402,0.5948663626652974,0.004206340627193118
H2scan_mH150_tb240000,tb_down,tan_beta,240000.0,63.59142520066018,2.768762424748044,0.7567334176801805,0.22647489999999998,0.0016014193755860768,0.22647489999927117,1.000000000003218,0.007071067811890988
H2scan_mH150_tb360000,tb_up,tan_beta,360000.0,63.591425200864364,6.2297732972662985,0.7567411677451383,0.22647489999999998,0.0016014193755860768,0.22647490000072554,0.9999999999967963,0.00707106781184558
