event,index,tau0_mm,tau_generated_mm,L3D_mm,Rxy_mm,n_daughters
1,5,4.326221529733112,3.818496102919095,7.891325687256186,7.800190212240163,1
1,6,4.326221529733112,8.182272446011611,16.95693963721603,16.71424553726051,1
1,9,4.326221529733112,3.818496102919095,7.891325687256186,7.800190212240163,2
1,10,4.326221529733112,8.182272446011611,16.95693963721603,16.71424553726051,2
2,5,4.326221529733112,10.59795313785317,7.209884041049242,7.125837513622522,1
2,6,4.326221529733112,7.912526320684563,12.18663560683938,5.320213832808214,1
2,9,4.326221529733112,10.59795313785317,7.209884041049242,7.125837513622522,2
2,10,4.326221529733112,7.912526320684563,12.18663560683938,5.320213832808214,2
3,5,4.326221529733112,0.8797823121731548,0.7809213087179525,0.5105759486041636,1
3,6,4.326221529733112,0.8564956654314103,0.5493947431396061,0.4970616944694018,1
3,9,4.326221529733112,0.8797823121731548,0.7809213087179526,0.5105759486041636,2
3,10,4.326221529733112,0.8564956654314103,0.5493947431396062,0.4970616944694018,2
4,5,4.326221529733112,13.67073326973357,56.16647419756272,10.02609348963756,1
4,6,4.326221529733112,10.39102667710052,16.10605471332859,7.620762022223121,1
4,9,4.326221529733112,13.67073326973357,56.16647419756272,10.02609348963756,2
4,10,4.326221529733112,10.39102667710052,16.1060547133286,7.620762022223121,2
5,5,4.326221529733112,2.235565778824479,1.475757172029934,1.059687348035044,1
5,6,4.326221529733112,10.94076420026507,13.66802419646847,5.186064982150503,1
5,9,4.326221529733112,2.235565778824479,1.475757172029934,1.059687348035044,2
5,10,4.326221529733112,10.94076420026507,13.66802419646847,5.186064982150503,2
6,5,4.326221529733112,2.137525928403223,0.8679832959023365,0.8274778804237591,1
6,6,4.326221529733112,8.801403644698176,5.834048087606057,3.407194614995535,1
6,9,4.326221529733112,2.137525928403223,0.8679832959023365,0.8274778804237591,2
6,10,4.326221529733112,8.801403644698176,5.834048087606056,3.407194614995535,2
7,5,4.326221529733112,20.04856778902509,10.7172623403197,7.934633894584366,1
7,6,4.326221529733112,0.8332144455571038,0.9789121911393395,0.3297617890088798,1
7,9,4.326221529733112,20.04856778902509,10.7172623403197,7.934633894584366,2
7,10,4.326221529733112,0.8332144455571038,0.9789121911393395,0.3297617890088798,2
8,5,4.326221529733112,4.888437260894695,5.241454888490741,2.788665714888672,1
8,6,4.326221529733112,7.40215545840537,6.427247468018249,4.222645406183062,1
8,9,4.326221529733112,4.888437260894695,5.241454888490741,2.788665714888672,2
8,10,4.326221529733112,7.40215545840537,6.42724746801825,4.222645406183062,2
9,5,4.326221529733112,8.753331757464165,63.6593629777216,5.28244246847457,1
9,6,4.326221529733112,2.346977593093716,17.10102020930796,1.416349163247995,1
9,9,4.326221529733112,8.753331757464165,63.65936297772204,5.28244246847457,2
9,10,4.326221529733112,2.346977593093716,17.10102020930809,1.416349163247995,2
10,5,4.326221529733112,0.1453334913056749,1.260067196317159,0.04158278986871455,1
10,6,4.326221529733112,0.2900382747558213,1.170265430769504,0.08298569396980335,1
10,9,4.326221529733112,0.1453334913056749,1.26006719631715,0.04158278986871455,2
10,10,4.326221529733112,0.2900382747558213,1.170265430769496,0.08298569396980335,2
11,5,4.326221529733112,3.454098618775675,14.56209684214252,3.818777415321971,1
11,6,4.326221529733112,11.67711267661317,51.52738372148935,12.90996554737232,1
11,9,4.326221529733112,3.454098618775675,14.56209684214249,3.818777415321971,2
11,10,4.326221529733112,11.67711267661317,51.52738372148925,12.90996554737232,2
12,5,4.326221529733112,3.771822929199927,16.00446220468242,2.527510055521268,1
12,6,4.326221529733112,3.886351931693548,11.51015597592244,2.604256289606242,1
12,9,4.326221529733112,3.771822929199927,16.00446220468248,2.527510055521268,2
12,10,4.326221529733112,3.886351931693548,11.51015597592249,2.604256289606242,2
13,5,4.326221529733112,12.15739881347696,11.38084206669861,4.688303632162625,1
13,6,4.326221529733112,2.184837970918034,2.502644222383225,0.8425473205161996,1
13,9,4.326221529733112,12.15739881347696,11.38084206669861,4.688303632162625,2
13,10,4.326221529733112,2.184837970918034,2.502644222383223,0.8425473205161996,2
14,5,4.326221529733112,15.49310054043819,55.66473553263478,14.32727365802584,1
14,6,4.326221529733112,0.4063929417408934,1.204389471661958,0.3758126318108341,1
14,9,4.326221529733112,15.49310054043819,55.66473553263478,14.32727365802584,2
14,10,4.326221529733112,0.4063929417408934,1.204389471661958,0.3758126318108341,2
15,5,4.326221529733112,2.071330954606007,2.070663030876069,0.3198698476210946,1
15,6,4.326221529733112,2.355672715256946,0.7770234942491739,0.363779950663527,1
15,9,4.326221529733112,2.071330954606007,2.070663030876069,0.3198698476210946,2
15,10,4.326221529733112,2.355672715256946,0.7770234942491739,0.363779950663527,2
16,5,4.326221529733112,0.002913838394341076,0.002272364859455375,0.001890377467581771,1
16,6,4.326221529733112,13.15585330242438,13.62668717194095,8.534971842643381,1
16,9,4.326221529733112,0.002913838394341076,0.002272364859455375,0.001890377467581771,2
16,10,4.326221529733112,13.15585330242438,13.62668717194095,8.534971842643381,2
17,5,4.326221529733112,0.01326691353700176,0.07116094270646164,0.003832860774358959,1
17,6,4.326221529733112,0.8267797315990176,2.603072676884386,0.2388597463488906,1
17,9,4.326221529733112,0.01326691353700176,0.07116094270646202,0.003832860774358959,2
17,10,4.326221529733112,0.8267797315990176,2.6030726768844,0.2388597463488906,2
18,5,4.326221529733112,3.320570726739668,4.836498459111954,1.817602646746588,1
18,6,4.326221529733112,3.174707114100048,2.272234626433551,1.737760321370762,1
18,9,4.326221529733112,3.320570726739668,4.836498459111954,1.817602646746588,2
18,10,4.326221529733112,3.174707114100048,2.27223462643355,1.737760321370762,2
19,5,4.326221529733112,3.776781742725021,1.565425759522518,1.26090404595989,1
19,6,4.326221529733112,11.07280280269194,5.018504501206379,3.696729862911437,1
19,9,4.326221529733112,3.776781742725021,1.565425759522518,1.26090404595989,2
19,10,4.326221529733112,11.07280280269194,5.018504501206379,3.696729862911437,2
20,5,4.326221529733112,2.966747671603006,13.15497792259674,2.274343979262138,1
20,6,4.326221529733112,0.00326704704635632,0.01209363711559366,0.002504557044391924,1
20,9,4.326221529733112,2.966747671603006,13.15497792259676,2.274343979262138,2
20,10,4.326221529733112,0.00326704704635632,0.01209363711559368,0.002504557044391924,2
21,5,4.326221529733112,0.5189810021640958,1.349923710801785,0.6998210229764925,1
21,6,4.326221529733112,6.694603592958098,15.08354677199405,9.027352283243477,1
21,9,4.326221529733112,0.5189810021640958,1.349923710801785,0.6998210229764925,2
