g_hH2H2_GeV,GHphiphi_GeV,kappa_g,sigma_pb,integration_error_pb,sigma_over_baseline,expected_kappa_squared,relative_residual,structural_prediction_sigma_pb,status,log_path,log_sha256
40,-40,6.2901562394173482e-01,,,,3.9566065516280996e-01,,9.1117154238163340e-05,MADGRAPH_NOT_EXECUTED_LHAPDF_UNAVAILABLE;STRUCTURAL_PREDICTION_ONLY,,
63.59142520075966,-63.59142520075966,1.0000000000000000e+00,,,,1.0000000000000000e+00,,2.3029116756800001e-04,MADGRAPH_NOT_EXECUTED_LHAPDF_UNAVAILABLE;STRUCTURAL_PREDICTION_ONLY,,
100,-100,1.5725390598543372e+00,,,,2.4728790947675625e+00,,5.6948221398852087e-04,MADGRAPH_NOT_EXECUTED_LHAPDF_UNAVAILABLE;STRUCTURAL_PREDICTION_ONLY,,
150,-150,2.3588085897815056e+00,,,,5.5639779632270150e+00,,1.2813349814741720e-03,MADGRAPH_NOT_EXECUTED_LHAPDF_UNAVAILABLE;STRUCTURAL_PREDICTION_ONLY,,
205.0927254223737,-205.0927254223737,3.2251632161866328e+00,,,,1.0401677771043305e+01,,2.3954145185596746e-03,MADGRAPH_NOT_EXECUTED_LHAPDF_UNAVAILABLE;STRUCTURAL_PREDICTION_ONLY,,
300,-300,4.7176171795630113e+00,,,,2.2255911852908060e+01,,5.1253399258966879e-03,MADGRAPH_NOT_EXECUTED_LHAPDF_UNAVAILABLE;STRUCTURAL_PREDICTION_ONLY,,
