Mass [GeV],error_label,error_minus,error_plus,error_symerror,observable,qualifiers,source_yaml,value
660,1 sigma,-0.10561,0.166733,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.388492
680,1 sigma,-0.0988702,0.156595,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.364578
700,1 sigma,-0.0926773,0.147246,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.342388
720,1 sigma,-0.0869997,0.138654,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.32188
740,1 sigma,-0.0818062,0.130783,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.303013
760,1 sigma,-0.0770658,0.123599,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.285748
780,1 sigma,-0.0727473,0.117063,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.270027
800,1 sigma,-0.068819,0.111123,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.255735
820,1 sigma,-0.0652493,0.105723,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.242745
840,1 sigma,-0.0620065,0.100807,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.230932
860,1 sigma,-0.0590589,0.0963184,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.220167
880,1 sigma,-0.0563749,0.092202,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.210324
900,1 sigma,-0.0539227,0.0884018,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.201277
920,1 sigma,-0.0516713,0.0848632,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.192902
940,1 sigma,-0.0495975,0.0815516,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.185115
960,1 sigma,-0.0476848,0.0784483,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.177867
980,1 sigma,-0.0459168,0.0755353,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.171107
1000,1 sigma,-0.0442769,0.0727944,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.164785
1020,1 sigma,-0.0427489,0.0702072,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.158854
1040,1 sigma,-0.0413162,0.0677558,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.153262
1060,1 sigma,-0.0399625,0.0654217,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.14796
1080,1 sigma,-0.038674,0.0631904,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.142907
1100,1 sigma,-0.0374447,0.0610562,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.13809
1120,1 sigma,-0.0362701,0.0590157,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.133495
1140,1 sigma,-0.0351454,0.0570649,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.129113
1160,1 sigma,-0.0340661,0.0552003,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.124933
1180,1 sigma,-0.0330275,0.053418,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.120943
1200,1 sigma,-0.032025,0.0517145,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.117134
1220,1 sigma,-0.031054,0.050086,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.113494
1240,1 sigma,-0.0301126,0.0485297,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.110015
1260,1 sigma,-0.0292003,0.0470435,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.10669
1280,1 sigma,-0.0283166,0.0456252,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.103512
1300,1 sigma,-0.0274611,0.0442726,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.100475
1320,1 sigma,-0.0266334,0.0429835,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0975724
1340,1 sigma,-0.025833,0.0417556,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0947969
1360,1 sigma,-0.0250596,0.0405869,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0921419
1380,1 sigma,-0.0243125,0.0394749,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0896012
1400,1 sigma,-0.023591,0.0384166,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0871695
1420,1 sigma,-0.0228943,0.0374086,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0848417
1440,1 sigma,-0.0222216,0.036448,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0826128
1460,1 sigma,-0.0215721,0.0355316,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0804777
1480,1 sigma,-0.020945,0.0346562,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0784312
1500,1 sigma,-0.0203395,0.0338187,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0764683
1520,1 sigma,-0.0197549,0.0330159,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0745841
1540,1 sigma,-0.0191909,0.0322455,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0727748
1560,1 sigma,-0.0186478,0.0315055,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0710376
1580,1 sigma,-0.0181258,0.0307938,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0693696
1600,1 sigma,-0.0176249,0.0301085,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0677678
1620,1 sigma,-0.0171454,0.0294475,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0662295
1640,1 sigma,-0.0166874,0.0288089,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0647516
1660,1 sigma,-0.0162511,0.0281905,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0633313
1680,1 sigma,-0.0158361,0.0275909,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0619657
1700,1 sigma,-0.0154411,0.0270092,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0606522
1720,1 sigma,-0.0150646,0.0264447,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.059388
1740,1 sigma,-0.0147051,0.0258966,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0581705
1760,1 sigma,-0.0143612,0.0253641,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0569968
1780,1 sigma,-0.0140313,0.0248467,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0558644
1800,1 sigma,-0.0137139,0.0243434,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0547705
1820,1 sigma,-0.0134077,0.0238537,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0537126
1840,1 sigma,-0.0131119,0.0233769,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0526896
1860,1 sigma,-0.0128258,0.0229124,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0517013
1880,1 sigma,-0.012549,0.0224597,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0507475
1900,1 sigma,-0.0122809,0.0220181,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0498278
1920,1 sigma,-0.012021,0.0215872,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.048942
1940,1 sigma,-0.0117687,0.0211663,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0480898
1960,1 sigma,-0.0115236,0.0207548,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0472709
1980,1 sigma,-0.0112843,0.0203525,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0464846
2000,1 sigma,-0.0110482,0.0199594,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0457292
2020,1 sigma,-0.0108126,0.0195757,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0450029
2040,1 sigma,-0.0105746,0.0192016,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0443041
2060,1 sigma,-0.0103315,0.018837,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.043631
2080,1 sigma,-0.0100806,0.0184823,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0429817
2100,1 sigma,-0.00981903,0.0181375,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0423547
2120,1 sigma,-0.00954432,0.0178029,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0417481
2140,1 sigma,-0.00925513,0.0174786,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0411599
2160,1 sigma,-0.00895069,0.017165,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0405877
2180,1 sigma,-0.00863023,0.0168625,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0400294
2200,1 sigma,-0.00829299,0.0165714,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0394828
2220,1 sigma,-0.0079382,0.016292,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0389457
2240,1 sigma,-0.00756509,0.0160247,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0384158
2260,1 sigma,-0.00717294,0.0157699,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.037891
2280,1 sigma,-0.00676326,0.0155271,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0373709
2300,1 sigma,-0.00634091,0.015295,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0368577
2320,1 sigma,-0.00591097,0.015072,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0363538
2340,1 sigma,-0.00547855,0.0148568,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0358618
2360,1 sigma,-0.00504874,0.0146478,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.035384
2380,1 sigma,-0.00462664,0.0144435,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0349231
2400,1 sigma,-0.00421736,0.0142426,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0344813
2420,1 sigma,-0.00382553,0.0140437,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0340609
2440,1 sigma,-0.00345308,0.0138463,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0336632
2460,1 sigma,-0.00310102,0.0136506,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0332888
2480,1 sigma,-0.00277034,0.0134564,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0329384
2500,1 sigma,-0.00246203,0.0132637,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0326128
2520,1 sigma,-0.00217708,0.0130724,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0323127
2540,1 sigma,-0.00191649,0.0128826,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0320388
2560,1 sigma,-0.00168122,0.0126942,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0317919
2580,1 sigma,-0.00147117,0.0125059,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0315717
2600,1 sigma,-0.00128489,0.012315,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.031377
2620,1 sigma,-0.00112083,0.0121189,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0312063
2640,1 sigma,-0.000977454,0.0119148,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0310584
2660,1 sigma,-0.000853228,0.0116998,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0309318
2680,1 sigma,-0.000746611,0.0114713,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0308251
2700,1 sigma,-0.000656064,0.0112265,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0307371
2720,1 sigma,-0.000580047,0.010963,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0306662
2740,1 sigma,-0.000517011,0.0106808,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0306105
2760,1 sigma,-0.000465408,0.0103803,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0305679
2780,1 sigma,-0.000423685,0.0100619,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0305365
2800,1 sigma,-0.000390293,0.00972617,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0305143
2820,1 sigma,-0.000363682,0.00937355,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.030499
2840,1 sigma,-0.0003423,0.00900452,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304888
2860,1 sigma,-0.00032462,0.00861957,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304816
2880,1 sigma,-0.000309683,0.00821972,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304762
2900,1 sigma,-0.000297147,0.00780655,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304724
2920,1 sigma,-0.000286701,0.00738167,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304698
2940,1 sigma,-0.000278035,0.00694668,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304682
2960,1 sigma,-0.000270836,0.0065032,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304674
2980,1 sigma,-0.000264794,0.00605283,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304671
3000,1 sigma,-0.000259597,0.00559718,,Cross section upper limit at 95% CL [fb],Limit=Expected; SQRT(S)=13000 GeV; LUMINOSITY=139.0 fb$^{-1}$,Limit1D_NW_Scalar.yaml,0.0304671
