event_index,m_H2H2,pT_H2H2,pT_H2_leading,pT_H2_subleading,y_H2_leading,y_H2_subleading,delta_phi_H2H2,delta_R_H2H2
1,341.2132296644142,0,70.18820736904198,70.18820736904198,-0.3146450557945988,0.175463632496167,3.141592653589793,3.179592887057627
2,338.131169281843,0,20.62072670147811,20.62072670147811,0.8387932059560171,-0.1178851407295682,3.141592653589793,3.28402768869363
3,362.2556900430712,0,98.68168164870954,98.68168164870954,-1.414544200384654,-1.149562171659067,3.141592653589793,3.152747988126689
4,562.6192783565809,0,212.7731568552043,212.7731568552043,-0.2920674912016479,0.5055459298620789,3.141592653589793,3.241263884744706
5,372.6658208303351,0,109.3031814583713,109.3031814583713,1.033256632781659,1.210993842479326,3.141592653589793,3.14661642352551
6,411.0568173667359,0,136.9571481919566,136.9571481919566,-1.169950459990893,-0.8621907567534672,3.141592653589793,3.156631184669211
7,439.0810178172181,0,156.0285067399706,156.0285067399706,1.096116633669965,0.7578172218606286,3.141592653589793,3.159754878644845
8,411.9291063658479,0,40.34792690514934,40.34792690514934,0.2200819903207407,1.793997567930949,3.141592653589793,3.513803444493365
9,455.0847501900449,0,154.7568478352351,154.7568478352351,-0.7168278212742997,-1.381736863566765,3.141592653589793,3.211184895893048
10,429.2242304562674,0,144.3009358856503,144.3009358856503,-1.165829091477194,-1.663256773551623,3.141592653589793,3.180729271721078
11,355.0252834163779,0,92.73808689643072,92.73808689643072,0.4659567192646365,0.6951979072327117,3.141592653589793,3.149945384185314
12,448.7055373417464,0,166.4830238166916,166.4830238166916,0.6619095577880755,0.7586439355800308,3.141592653589793,3.143081599471473
13,318.0751887387238,0,48.42212260708887,48.42212260708887,0.9872265520720364,0.7193849558609775,3.141592653589793,3.152989616498958
14,415.955417365993,0,141.9417155085386,141.9417155085386,-0.02883573622358137,-0.2669313653031832,3.141592653589793,3.150602153505925
15,384.5664886696584,0,98.86963591621603,98.86963591621603,-0.5379351852477943,-1.28356146723513,3.141592653589793,3.228864034529731
16,302.3582488625079,0,13.57652890825964,13.57652890825964,0.2628354166008053,0.08950509883776568,3.141592653589793,3.146370575781752
17,568.7030232707001,0,238.9593767470036,238.9593767470036,-1.21706629305835,-1.467457081261055,3.141592653589793,3.151555163392532
18,370.9551369073051,0,88.35460245079149,88.35460245079149,-0.5790348003581284,0.140546497422046,3.141592653589793,3.222949215424338
19,457.7933048013471,0,149.0268404055784,149.0268404055784,1.951281544643178,2.758370421253516,3.141592653589793,3.243608616315707
20,365.8298952734085,0,100.3055211309362,100.3055211309362,0.04252482987898932,0.3729135493787633,3.141592653589793,3.158917711347045
21,493.8629239584187,0,181.6068069335136,181.6068069335136,-1.253550489879575,-0.634129819557099,3.141592653589793,3.202075322023532
22,379.5899254889047,0,115.4269979950785,115.4269979950785,0.1042133153510886,0.2530411609024831,3.141592653589793,3.14511591657618
23,332.0091835061062,0,70.55364640966323,70.55364640966323,2.056668447938115,2.164334459552057,3.141592653589793,3.143437031522377
24,516.7133408169283,0,162.811225005342,162.811225005342,-0.0993559854738722,-1.239857951460252,3.141592653589793,3.342207225099628
25,438.0533473086624,0,46.85821032639212,46.85821032639212,-0.6744492872607983,1.046773921739826,3.141592653589793,3.582207941520392
26,416.653963741699,0,129.1931776121731,129.1931776121731,-1.19247853860977,-0.5482274807789413,3.141592653589793,3.206971129680699
