point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status,production_evaluation_mode
eff_ctau4p326_g40_br0p1,4.326221529733112,4.5611852986218501e-14,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,9.1290000000000013e-04,1.4363440794000001e-05,1.9965182703660001e-03,3.1567725622482076e-04,3.0,6.6550609012199999e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau4p326_g40_br0p25,4.326221529733112,4.5611852986218501e-14,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,5.7056249999999998e-03,8.9771504962499988e-05,1.2478239189787499e-02,1.9729828514051294e-03,3.0,4.1594130632624992e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau4p326_g40_br0p5,4.326221529733112,4.5611852986218501e-14,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,2.2822499999999999e-02,3.5908601984999995e-04,4.9912956759149994e-02,7.8919314056205177e-03,3.0,1.6637652253049997e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau4p326_g40_br0p7567,4.326221529733112,4.5611852986218501e-14,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,5.2277366611441965e-02,8.2252476743310224e-04,1.1433094267320121e-01,1.8077309294072794e-02,3.0,3.8110314224400400e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau4p326_g40_br1,4.326221529733112,4.5611852986218501e-14,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.01573386,0.002487741699310843,9.1289999999999996e-02,1.4363440793999998e-03,1.9965182703659998e-01,3.1567725622482071e-02,3.0,6.6550609012199988e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau10_g40_br0p1,10,1.9732698040000002e-14,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.018625475,0.002716804752519248,9.1290000000000013e-04,1.7003196127500003e-05,2.3634442617225006e-03,3.4474377714190031e-04,3.0,7.8781475390750019e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau10_g40_br0p25,10,1.9732698040000002e-14,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.018625475,0.002716804752519248,5.7056249999999998e-03,1.0626997579687499e-04,1.4771526635765624e-02,2.1546486071368763e-03,3.0,4.9238422119218745e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau10_g40_br0p5,10,1.9732698040000002e-14,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.018625475,0.002716804752519248,2.2822499999999999e-02,4.2507990318749997e-04,5.9086106543062497e-02,8.6185944285475050e-03,3.0,1.9695368847687498e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau10_g40_br0p7567,10,1.9732698040000002e-14,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.018625475,0.002716804752519248,5.2277366611441965e-02,9.7369078488724703e-04,1.3534301909932733e-01,1.9741808330222765e-02,3.0,4.5114339699775775e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau10_g40_br1,10,1.9732698040000002e-14,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.018625475,0.002716804752519248,9.1289999999999996e-02,1.7003196127499999e-03,2.3634442617224999e-01,3.4474377714190020e-02,3.0,7.8781475390749992e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
